image_filename,response_content,색감,분위기,고유한 특징,촬영 구도,동작,인물 수,의상
filmdenini_01.png,"
1. 색감: 따뜻함, 자연스러움
2. 분위기: 로맨틱, 행복함
3. 고유한 특징: 자연광 활용, 감성적 연출
4. 촬영 구도: 다채로운 각도, 신체 일부 클로즈업
5. 동작: 키스, 포옹, 평화로운 제스처
6. 인물 수: 2명
7. 의상: 웨딩 드레스, 턱시도, 캐주얼 복장","따뜻함, 자연","경쾌함, 로맨틱","자연 배경, 감성적 연출, 야외 배경","다각도, 근접 ",포옹/키스,2명,"웨딩 드레스, 턱시도, 캐주얼"
filmdenini_02.png,"- **색감**: 부드러운, 따뜻한
- **분위기**: 로맨틱한, 자연스러운
- **고유한 특징**: 감성적인, 자연 속의 연출
- **촬영 구도**: 원거리 샷, 움직이는 동작 포착
- **동작**: 손잡기, 동반
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 턱시도 착용","따뜻함, 부드러움","로맨틱, 자연스러움","감성적 연출, 자연 배경, 야외 배경","정면, 다각도",손잡기/애정 표현,2명,"웨딩 드레스, 턱시도"
filmdenini_03.png,"- 색감: 따뜻함, 빈티지
- 분위기: 로맨틱, 자연스러움
- 고유한 특징: 자연 배경 활용
- 촬영 구도: 다양한 각도, 다이내믹
- 동작: 정적, 앉아 있음; 역동
- 인물 수: 2명
- 의상: 웨딩 드레스, 정장

","따뜻함, 빈티지","로맨틱, 자연스러움",자연 배경,다각도,정적 포즈,2명,"웨딩 드레스, 턱시도"
onyuwor_01.png,"색감: 화사함, 자연스러움  
분위기: 로맨틱, 따뜻함  
고유한 특징: 자연 요소 활용, 감정 표현  
촬영 구도: 넓은 앵글, 근접 샷  
동작: 손잡기  
인물 수: 두 명  
의상: 웨딩 드레스, 캐주얼한 복장  ","자연, 화사함","따뜻함, 로맨틱","자연 배경, 인물 중심 ","다각도, 정면",손잡기/애정 표현,2명,"웨딩 드레스, 캐주얼"
onyuwor_02.png,"
- 색감: 자연스러운, 부드러운, 따뜻한
- 분위기: 자유로운, 로맨틱한
- 고유한 특징: 자연 배경, 그림자 활용, 거울 활용 
- 촬영 구도: 수평, 측면
- 동작: 손 잡기, 포옹
- 인물 수: 2명
- 의상: 드레스, 캐주얼한 옷

","따뜻함, 부드러움, 자연","로맨틱, 자유로움","자연 배경, 감성적 연출, 소품 활용 ","정면, 측면","손잡기/애정 표현, 포옹/키스",2명,"웨딩 드레스, 턱시도"
camengzzi_01.png,"
- 색감: 따뜻한, 밝은
- 분위기: 행복한, 로맨틱한
- 고유한 특징: 자연스러움, 일상적인
- 촬영 구도: 근접, 다정함
- 동작: 미소
- 인물 수: 두 명
- 의상: 캐주얼, 청색 셔츠
","따뜻함, 밝음","경쾌함, 로맨틱","캐주얼 연출, 일상적 연출",근접,미소/웃음,2명,캐주얼
camengzzi_02.png,"- **색감**: 따뜻한, 부드러운
- **분위기**: 로맨틱한, 소박한
- **고유한 특징**: 자연 속, 일상의 순간
- **촬영 구도**: 중심적인, 대칭적인
- **동작**: 키스, 포옹
- **인물 수**: 두 명
- **의상**: 캐주얼한, 드레스, 셔츠","따뜻함, 부드러움","로맨틱, 소박함","자연 배경, 일상적 연출, 인물 중심","정면, 근접",포옹/키스,2명,캐주얼
camengzzi_03.png,"
- 색감: 어두운, 따뜻한
- 분위기: 로맨틱한, 감성적
- 고유한 특징: 유리 엘리베이터, 도시 야경
- 촬영 구도: 수직, 근접
- 동작: 포옹, 키스
- 인물 수: 2명
- 의상: 드레스 

","따뜻함, 어두움","감성적, 로맨틱","특정 장소, 야외 배경, 도시 배경, 감성적 연출 ",근접,포옹/키스,2명,"웨딩 드레스, 턱시도"
camengzzi_04.png,"색감: 따뜻한, 선명한  
분위기: 로맨틱한, 자연적인  
고유한 특징: 야외 촬영, 꽃 배경  
촬영 구도: 가까운 거리에서의 측면 샷  
동작: 손 잡기, 포옹  
인물 수: 2명  
의상: 캐주얼 복장 (웨딩 드레스, 턱시도 아님)  ","따뜻함, 선명함","로맨틱, 자연스러움","야외 배경, 소품 활용 ","측면, 근접","손잡기/애정 표현, 포옹/키스",2명,캐주얼
youngho_gogo_02.png,"
1. **색감**: 화사함, 따스함
2. **분위기**: 로맨틱, 감성적
3. **고유한 특징**: 자연스러움, 친밀함
4. **촬영 구도**: 중심적, 대칭적
5. **동작**: 키스, 포옹, 업기
6. **인물 수**: 두 명 (각 사진마다 커플)
7. **의상**: 캐주얼, 웨딩 드레스 아님

","따뜻함, 화사함","감성적, 로맨틱","일상적 연출, 부드러운 분위기, 캐주얼 연출 ",정면,포옹/키스,2명,캐주얼
salrang_film_01.png,"
- **색감**: 따뜻하고 부드러운
- **분위기**: 로맨틱하고 자연스러운
- **고유한 특징**: 자연광 활용, 감성적인 연출
- **촬영 구도**: 중앙 집중, 인물 중심
- **동작**: 첫 번째 사진 - 우산을 들고 걷고 있음, 두 번째 사진 - 포옹, 세 번째 사진 - 걸어가고 있음
- **인물 수**: 두 명
- **의상**: 웨딩 드레스와 턱시도
","따뜻함, 부드러움",로맨틱,"감성적 연출, 자연 배경 ",정면,걷기/움직임,2명,"웨딩 드레스, 턱시도"
salrang_film_02.png,"- **색감**: 부드러운, 따뜻한
- **분위기**: 로맨틱, 친밀한
- **고유한 특징**: 자연광 활용, 감성적
- **촬영 구도**: 창문 바라보는 모습, 침대 위 나란히 앉은 모습, 가까운 거리
- **동작**: 키스, 서로 바라봄
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 턱시도, 검은 드레스","따뜻함, 부드러움","감성적, 로맨틱","자연 배경, 감성적 연출","근접, 다각도","포옹/키스, 손잡기/애정 표현",2명,"웨딩 드레스, 턱시도"
sun.graphy_01.png,"색감: 자연스러운, 밝은, 화사한  
분위기: 로맨틱한, 행복한, 따뜻한  
고유한 특징: 자연 배경, 선명한 색상  
촬영 구도: 인물을 중심으로 한 클로즈업, 자연스러운 동선  
동작: 무릎 앉기, 풍선 들기, 손잡기  
인물 수: 2명  
의상: 웨딩 드레스, 턱시도, 캐주얼 ","밝음, 자연, 화사함","경쾌함, 따뜻함, 로맨틱","자연 배경, 유니크한 연출, 강렬한 색감 ","근접, 다각도","소품 활용/기타, 손잡기/애정 표현",2명,"웨딩 드레스, 턱시도, 캐주얼"
aedam_snap_01.png,"색감: 따뜻함, 자연스러움  
분위기: 로맨틱, 즐거움  
고유한 특징: 역광, 자연 배경  
촬영 구도: 근접, 대칭  
동작: 웃음, 포옹, 기쁨  
인물 수: 두 명  
의상: 웨딩 드레스, 정장, 캐주얼 의상  ","따뜻함, 자연","경쾌함, 로맨틱","감성적 연출, 자연 배경",근접,"미소/웃음, 포옹/키스",2명,"웨딩 드레스, 턱시도, 캐주얼"
aedam_snap_02.png,"- 색감: 따뜻한, 자연스러운
- 분위기: 행복한, 로맨틱한
- 고유한 특징: 감성적, 자연 배경
- 촬영 구도: 친밀한, 다채로운
- 동작: 웃음, 포옹
- 인물 수: 2명
- 의상: 웨딩 드레스, 정장 (턱시도 없음)","따뜻함, 자연","경쾌함, 로맨틱","감성적 연출, 자연 배경",다각도,"미소/웃음, 포옹/키스",2명,"웨딩 드레스, 턱시도"
aedam_snap_03.png,"- 색감: 따뜻함
- 분위기: 로맨틱
- 고유한 특징: 자연 배경
- 촬영 구도: 다양함
- 동작: 키스, 손 잡기
- 인물 수: 2명
- 의상: 웨딩드레스, 턱시도, 캐주얼(청바지)",따뜻함,로맨틱,자연 배경,다각도,"포옹/키스, 손잡기/애정 표현",2명,"웨딩 드레스, 턱시도, 캐주얼"
poba_min_01.png,"- 색감: 따뜻함, 자연스러움
- 분위기: 로맨틱, 감성적
- 고유한 특징: 부드러운 조명, 자연 배경
- 촬영 구도: 근접 촬영, 정면과 측면 강조
- 동작: 대화, 자전거 타기, 키스
- 인물 수: 2명
- 의상: 캐주얼, 드레스 없음, 턱시도 없음","따뜻함, 자연","감성적, 로맨틱","부드러운 분위기, 자연 배경, 감성적 연출 ","근접, 측면","소품 활용/기타, 포옹/키스",2명,캐주얼
poba_min_02.png,"색감: 자연적, 따뜻함, 로맨틱
분위기: 사랑스러움, 평화로움, 감성적
고유한 특징: 야외 촬영, 해변, 교회
촬영 구도: 대칭적, 넓은 배경
동작: 키스, 포옹
인물 수: 2명
의상: 웨딩 드레스, 턱시도","감성, 따뜻함, 자연","감성적, 사랑스러움, 평화로움","야외 배경, 특정 장소, 유니크한 연출, 감성적 연출 ",정면,포옹/키스,2명,"웨딩 드레스, 턱시도"
cmbg___01.png,"
- **색감**: 물빛, 어두운, 자연
- **분위기**: 로맨틱, 감성적
- **고유한 특징**: 야외, 물과 자동차, 밤과 낮
- **촬영 구도**: 인물 중심, 정면 및 측면
- **동작**: 키스, 포옹
- **인물 수**: 2명
- **의상**: 캐주얼, 드레스, 턱시도
","어두움, 자연, 청량감","감성적, 로맨틱","야외 배경, 도시 배경, 감성적 연출, 유니크한 연출 ","정면, 측면, 근접",포옹/키스,2명,"캐주얼, 웨딩 드레스, 턱시도"
cmbg___02.png,"1. 색감: 따뜻한, 어두운
2. 분위기: 로맨틱한, 감성적인
3. 고유한 특징: 자연스러운 배경, 도시 야경, 은은한 조명
4. 촬영 구도: 밀착, 근접, 프레임 안의 프레임
5. 동작: 키스, 포옹
6. 인물 수: 2명
7. 의상: 웨딩 드레스, 정장

","따뜻함, 어두움","감성적, 로맨틱","야외 배경, 감성적 연출, 도시 배경, 유니크한 연출, 특정 장소",근접,포옹/키스,2명,"웨딩 드레스, 턱시도"
cmbg___03.png,"- **색감**: 따뜻함
- **분위기**: 로맨틱함
- **고유한 특징**: 자연스러움
- **촬영 구도**: 클로즈업, 액자 구도, 실내
- **동작**: 키스, 포옹
- **인물 수**: 두 명
- **의상**: 웨딩 드레스, 턱시도 ",따뜻함,로맨틱,"일상적 연출, 부드러운 분위기",근접,포옹/키스,2명,"웨딩 드레스, 턱시도"
taerang_pic_01.png,"

- 색감: 따뜻한, 자연스러운
- 분위기: 로맨틱한, 편안한
- 고유한 특징: 자연 속, 감성적인
- 촬영 구도: 자연 경관 배경, 근접 촬영
- 동작: 포옹, 얼굴 맞댐
- 인물 수: 두 명
- 의상: 캐주얼한, 드레스 (웨딩 드레스 아님), 턱시도 없음","따뜻함, 자연","로맨틱, 편안함","자연 배경, 부드러운 분위기",근접,포옹/키스,2명,캐주얼
damda.seoul_01.png," 
  - 색감: 흑백, 자연광, 소프트,따뜻한, 선셋
   - 분위기: 감성적인,로맨틱한,우아한
   - 고유한 특징: 그림자 강조,실루엣,대화, 커피숍
   - 촬영 구도: 계단, 위에서 아래로,도시를 배경으로 한 인물,테이블
   - 동작: 포옹,대화,춤, 손잡기
   - 인물 수: 2명
   - 의상: 캐주얼, 드레스, 턱시도 
","감성, 따뜻함, 부드러움, 자연, 흑백","감성적, 로맨틱, 우아함","유니크한 연출, 클래식 연출, 감성적 연출, 특정 장소","탑뷰, 정면","포옹/키스, 춤/활동적 동작, 손잡기/애정 표현",2명,"캐주얼, 웨딩 드레스, 턱시도"
damda.seoul_02.png,"1. 색감: 따뜻한, 자연스러운
2. 분위기: 로맨틱한, 행복한
3. 고유한 특징: 자연 속 배경, 활기찬 동작
4. 촬영 구도: 자유로운, 순간 포착
5. 동작: 휴식, 달리기, 자연스러운 포즈
6. 인물 수: 2명
7. 의상: 원피스, 셔츠, 바지, 정장, 부케

","따뜻함, 자연","경쾌함, 로맨틱","자연 배경, 캐주얼 연출",정면,걷기/움직임,2명,"캐주얼, 턱시도"
damda.seoul_03.png,"
1. **색감**: 따뜻함, 자연광
2. **분위기**: 로맨틱, 행복
3. **고유한 특징**: 자연스러운 포즈, 밝은 배경
4. **촬영 구도**: 근접 촬영, 프레임 가득 찬 인물
5. **동작**: 포옹, 키스
6. **인물 수**: 두 사람
7. **의상**: 웨딩 드레스, 턱시도

","따뜻함, 자연","경쾌함, 로맨틱","부드러운 분위기, 캐주얼 연출",근접,포옹/키스,2명,"웨딩 드레스, 턱시도"
yeseul_snap_01.png,"색감: 부드러운, 따뜻한, 화사한
분위기: 로맨틱, 봄날의 설렘, 따뜻함
고유한 특징: 벚꽃 배경, 자연광 활용, 야외 촬영
촬영 구도: 대칭적, 중앙 집중, 계단
동작: 경례, 걷기, 포옹
인물 수: 2명, 1명, 2명
의상: 군복, 캐주얼 복장, 화이트 상의, 신랑 신부 느낌 없음","따뜻함, 부드러움, 화사함","경쾌함, 따뜻함, 로맨틱","자연 배경, 야외 배경","탑뷰, 정면","걷기/움직임, 포옹/키스","1명, 2명","군복, 캐주얼"
noudhaus_01.png,#NAME?,흑백,빈티지,"유니크한 연출, 클래식 연출, 감성적 연출","정면, 측면","포옹/키스, 걷기/움직임",2명,"턱시도, 웨딩 드레스"
film_he.da0_01.png,"- **색감**: 빈티지, 무드
- **분위기**: 로맨틱, 자연적
- **고유한 특징**: 부드러운 필터, 친밀한 장면
- **촬영 구도**: 동작 중심, 야외 배경
- **동작**: 손잡기, 누워있기, 업기
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 턱시도 (또는 정장)",빈티지,"로맨틱, 자연스러움","부드러운 분위기, 인물 중심",정면,손잡기/애정 표현,2명,"웨딩 드레스, 턱시도"
film_he.da0_02.png,#NAME?,"빈티지, 어두움","감성적, 몽환적","인물 중심, 도시 배경","다각도, 정면","걷기/움직임, 포옹/키스, 정적 포즈",2명,"웨딩 드레스, 턱시도"
mimostudio.kr_01.png,"색감: 모노톤, 자연광, 따뜻함  
분위기: 차분함, 로맨틱, 신비로움  
고유한 특징: 몽환적, 실루엣 강조, 감성적  
촬영 구도: 정면, 측면, 수평  
동작: 정적, 포옹, 움직임  
인물 수: 1명, 2명  
의상: 웨딩 드레스, 턱시도, 베일  ","따뜻함, 자연, 흑백","로맨틱, 몽환적, 차분함","감성적 연출, 유니크한 연출, 클래식 연출","정면, 측면","정적 포즈, 포옹/키스","1명, 2명","웨딩 드레스, 턱시도, 베일"
_hwangak_01.jpg,"색감: 모노톤, 저채도, 어두운 톤  
분위기: 로맨틱, 감성적, 차분한  
고유한 특징: 자연과의 조화, 친밀감  
촬영 구도: 밀착, 중앙 집중  
동작: 포옹  
인물 수: 두 명  
의상: 웨딩 드레스, 수트(턱시도 없음)  ","어두움, 흑백","감성적, 로맨틱, 차분함","자연 배경, 일상적 연출 ","근접, 정면 및 측면",포옹/키스,2명,웨딩 드레스
badam_film_01.jpg,"색감: 밝은, 섬세한  
분위기: 로맨틱, 따뜻한  
고유한 특징: 자연스러움, 부드러움  
촬영 구도: 다양함, 인물 중심  
동작: 서 있는 모습  
인물 수: 2인  
의상: 웨딩 드레스, 턱시도  ","밝음, 풍부함","따뜻함, 로맨틱",부드러운 분위기,다각도,정적 포즈,2명,"웨딩 드레스, 턱시도"
_hwangak_02.png,"
1. 색감: 어둡고 자연스러운 색감
2. 분위기: 서정적이고 감성적인 분위기
3. 고유한 특징: 자연 속 인물 강조
4. 촬영 구도: 넓은 공간, 자연 배경 활용
5. 동작: 키스, 포옹
6. 인물 수: 1명, 두명
7. 의상: 웨딩 드레스와 흰 셔츠

",대비,감성적,"자연 배경, 인물 중심 ",정면,포옹/키스,"1명, 2명",웨딩 드레스
_hwangak_03.png,"- 색감: 흑백, 생생한 색감
- 분위기: 빈티지, 로맨틱
- 고유한 특징: 클래식, 자연 배경
- 촬영 구도: 중점 인물, 대칭적
- 동작: 서 있음, 포옹
- 인물 수: 2명
- 의상: 정장, 드레스, 웨딩 드레스 없음","선명함, 흑백","로맨틱, 빈티지","자연 배경, 클래식 연출",정면,"정적 포즈, 포옹/키스",2명,"턱시도, 웨딩 드레스, 캐주얼"
_hwangak_04.png,"색감: 어두운, 따뜻한 톤  
분위기: 로맨틱, 감성적  
고유한 특징: 강한 대비, 그림자 사용  
촬영 구도: 가까운 인물 중심, 바다 배경  
동작: 포옹, 상체 기대기  
인물 수: 두 명  
의상: 오렌지 색 슈트, 분홍색 드레스  ","따뜻함, 어두움","감성적, 로맨틱","강렬한 색감, 감성적 연출, 유니크한 연출, 클래식 연출 ",근접,"포옹/키스, 정적 포즈",2명,웨딩 드레스
badam_film_02.jpg,"

- 색감: 밝은
- 분위기: 경쾌한
- 고유한 특징: 자연스러운 포즈
- 촬영 구도: 다양함
- 동작: 기댐, 포옹
- 인물 수: 다양한 (두세 명에서 여럿)
- 의상: 웨딩 드레스, 정장, 캐주얼한 복장",밝음,경쾌함,"일상적 연출, 인물 중심",다각도,포옹/키스,3명 이상,"웨딩 드레스, 턱시도, 캐주얼"
badam_film_03.jpg,"- **색감**: 부드러운, 따뜻한, 자연스러운
- **분위기**: 사적인, 로맨틱한, 즐거운
- **고유한 특징**: 밝은 햇살, 자연 배경
- **촬영 구도**: 근접, 정면 및 측면
- **동작**: 포옹, 웃음
- **인물 수**: 2명
- **의상**: 웨딩 드레스 유사, 캐주얼한 옷차림","따뜻함, 부드러움, 자연","감성적, 경쾌함, 로맨틱","자연 배경, 야외 배경","근접, 정면, 측면","포옹/키스, 미소/웃음",2명,"웨딩 드레스, 캐주얼"
badam_film_04.jpg,"

- 색감: 따뜻한, 부드러운
- 분위기: 로맨틱, 사랑스러운
- 고유한 특징: 자연스러움, 일상적 순간, 뒷모습, 꽃활용 
- 촬영 구도: 인물을 중심으로 한 구도
- 동작: 키스 없음, 포옹 없음
- 인물 수: 두 명
- 의상: 웨딩 드레스 없음, 턱시도 없음","따뜻함, 부드러움","로맨틱, 사랑스러움","일상적 연출, 유니크한 연출, 소품 활용",근접,미소/웃음,2명,캐주얼
beomjigoo_01.jpg,"
- **색감**: 부드러운, 자연스러운
- **분위기**: 따뜻한, 로맨틱한
- **고유한 특징**: 자연스러운 포즈, 편안함
- **촬영 구도**: 중근접, 다각도
- **동작**: 웃음, 걷기
- **인물 수**: 두 명
- **의상**: 캐주얼 / 드레스 및 정장 (웨딩 드레스, 턱시도)","부드러움, 자연","따뜻함, 로맨틱","일상적 연출, 인물 중심, 부드러운 분위기","근접, 다각도","미소/웃음, 걷기/움직임",2명,"캐주얼, 웨딩 드레스, 턱시도"
beomjigoo_02.jpg,"1. 색감: 선명함
2. 분위기: 로맨틱, 즐거움
3. 고유한 특징: 자연, 직업적 요소, 다이나믹한 움직임
4. 촬영 구도: 멀리서 전신, 옆에서, 상단에서
5. 동작: 정지, 대면, 점프
6. 인물 수: 2명
7. 의상: 웨딩 드레스, 캐주얼, 작업복",선명함,"경쾌함, 로맨틱","자연 배경, 유니크한 연출, 캐주얼 연출 ","측면, 근접, 탑뷰",춤/활동적 동작,2명,"웨딩 드레스, 캐주얼"
youngho_gogo_01.png,"- **색감**: 따뜻한, 부드러운
- **분위기**: 로맨틱한, 편안한
- **고유한 특징**: 자연스러운 포즈, 일상적인 순간 포착
- **촬영 구도**: 다양함, 비대칭적
- **동작**: 웃음, 편안한 자세
- **인물 수**: 두 명
- **의상**: 캐주얼한 복장, 웨딩 드레스나 턱시도 없음","따뜻함, 부드러움","로맨틱, 편안함",일상적 연출 ,다각도,미소/웃음,2명,캐주얼
w.yeowoon_02.png,"1. 색감: 빈티지
2. 분위기: 자연스러움
3. 고유한 특징: 일상적, 친근함
4. 촬영 구도: 다양한 각도, 자연광
5. 동작: 수박 먹기, 엎드려 누움, 함께 걷기
6. 인물 수: 2명
7. 의상: 캐주얼, 드레스 (웨딩 드레스 아님), 부츠, 캐주얼 의상 (턱시도 아님)",빈티지,자연스러움,"일상적 연출, 인물 중심, 유니크한 연출",다각도,"소품 활용/기타, 걷기/움직임",2명,캐주얼
anonnuit_01.png,"- 색감: 부드러운, 자연스러운
- 분위기: 로맨틱한, 따뜻한
- 고유한 특징: 일상적 친밀감, 자연 속 배경
- 촬영 구도: 중앙 배치, 심플함
- 동작: 손잡기, 우산 공유, 뺨 키스
- 인물 수: 2명
- 의상: 캐주얼 복장, 간단한 드레스, 군복, 웨딩 드레스 아님, 턱시도 아님","부드러움, 자연","따뜻함, 로맨틱","일상적 연출, 자연 배경",정면,"손잡기/애정 표현, 소품 활용/기타",2명,캐주얼
de.riz__01.jpg,"1. **색감**: 따뜻한, 자연스러운
2. **분위기**: 로맨틱한, 행복한
3. **고유한 특징**: 자연 속 배경, 친밀한 순간 포착
4. **촬영 구도**: 근접, 균형 잡힌
5. **동작**: 포옹, 웃음, 키스
6. **인물 수**: 2명
7. **의상**: 웨딩 드레스, 턱시도 스타일 의상","따뜻함, 자연","경쾌함, 로맨틱","자연 배경, 일상적 연출 ","근접, 정면","포옹/키스, 미소/웃음",2명,"웨딩 드레스, 턱시도"
de.riz__02.jpg,"  
 - 색감: 따뜻한, 어두운/신비로운
   - 분위기: 로맨틱, 우아한
   - 고유한 특징: 그림자 사용, 자연스러운 순간
   - 촬영 구도: 밀착, 중앙, 근접
   - 동작: 포옹, 춤
   - 인물 수: 2명
   - 의상: 검정 드레스, 정장, 캐주얼 ","따뜻함, 어두움","로맨틱, 우아함","유니크한 연출, 일상적 연출 ","근접, 정면","포옹/키스, 춤/활동적 동작",2명,"웨딩 드레스, 턱시도, 캐주얼"
de.riz__03.jpg,"
   - **색감**: 따뜻한, 자연스러운
   - **분위기**: 유쾌한, 즐거운, 낭만적인, 몽환적인
   - **고유한 특징**: 사진을 들고 포즈, 풀밭에 누운 자세, 풍선 꽃다발
   - **촬영 구도**: 인물 중심, 근접 촬영, 위에서 촬영, 대각선 구도, 상반신 중심
   - **동작**: 미소, 가벼운 포즈, 눕기, 웃는 얼굴
   - **인물 수**: 2명
   - **의상**: 캐주얼, 웨딩 드레스, 정장 ","따뜻함, 자연","경쾌함, 로맨틱, 몽환적","캐주얼 연출, 자연 배경, 야외 배경, 유니크한 연출, 소품 활용","탑뷰, 근접, 다각도",미소/웃음,2명,"캐주얼, 웨딩 드레스, 턱시도"
eddey_film_01.jpg,"- 색감: 밝고 산뜻함
- 분위기: 로맨틱, 따뜻함
- 고유한 특징: 자연 배경 활용, 부드러운 느낌
- 촬영 구도: 근접 및 전신 다양하게
- 동작: 키스, 소품 사용
- 인물 수: 2명
- 의상: 웨딩 드레스, 화이트 셔츠",밝음,"따뜻함, 로맨틱","자연 배경, 부드러운 분위기","근접, 다각도","포옹/키스, 소품 활용/기타",2명,"웨딩 드레스, 캐주얼"
eddey_film_02.jpg,"- **색감**: 부드러운, 따뜻한
- **분위기**: 로맨틱한, 몽환적인
- **고유한 특징**: 여유로운 움직임, 자연 속에서의 촬영
- **촬영 구도**: 자연광 사용, 넓은 배경
- **동작**: 꽃 던지기
- **인물 수**: 1명
- **의상**: 핑크 드레스, 웨딩 드레스","따뜻함, 부드러움","로맨틱, 몽환적","자연 배경, 부드러운 분위기, 야외 배경",정면,소품 활용/기타,1명,웨딩 드레스
